[2026-05-15 22:53:09] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:53:10] MOVE chetan (red): 25→29 [0.3ms]
[2026-05-15 22:53:11] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:53:12] MOVE chetan (red): 29→25 [0.5ms]
[2026-05-15 22:53:13] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:53:15] MOVE chetan (red): 25→29 [0.2ms]
[2026-05-15 22:53:16] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:53:17] MOVE chetan (red): 29→25 [0.2ms]
[2026-05-15 22:53:18] MOVE asha (blue): 90→94 [2.2ms]
[2026-05-15 22:53:19] MOVE chetan (red): 25→29 [0.2ms]
[2026-05-15 22:53:20] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:53:21] MOVE chetan (red): 29→25 [1.0ms]
[2026-05-15 22:53:22] MOVE asha (blue): 90→94 [0.4ms]
[2026-05-15 22:53:24] MOVE chetan (red): 25→27 [0.3ms]
[2026-05-15 22:53:25] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:53:26] MOVE chetan (red): 26→28 [0.3ms]
[2026-05-15 22:53:27] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:53:28] MOVE chetan (red): 47→37 [0.3ms]
[2026-05-15 22:53:29] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:53:30] MOVE chetan (red): 37→26 [0.3ms]
[2026-05-15 22:53:31] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:53:32] MOVE chetan (red): 28→30 [0.2ms]
[2026-05-15 22:53:34] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:53:35] MOVE chetan (red): 30→28 [0.3ms]
[2026-05-15 22:53:36] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:53:37] MOVE chetan (red): 28→30 [0.2ms]
[2026-05-15 22:53:38] MOVE asha (blue): 94→90 [0.6ms]
[2026-05-15 22:53:39] MOVE chetan (red): 26→28 [0.5ms]
[2026-05-15 22:53:40] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:53:41] MOVE chetan (red): 27→31 [0.5ms]
[2026-05-15 22:53:42] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:53:44] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:53:45] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:53:46] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:53:47] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:53:48] MOVE chetan (red): 31→27 [0.5ms]
[2026-05-15 22:53:49] MOVE asha (blue): 90→94 [0.8ms]
[2026-05-15 22:53:50] MOVE chetan (red): 27→31 [0.9ms]
[2026-05-15 22:53:52] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:53:53] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:53:54] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:53:55] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:53:56] MOVE asha (blue): 94→90 [1.3ms]
[2026-05-15 22:53:57] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:53:58] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:53:59] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:54:01] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:54:02] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:03] MOVE asha (blue): 90→94 [13.9ms]
[2026-05-15 22:54:04] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:54:05] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:54:06] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:54:08] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:54:09] MOVE chetan (red): 27→31 [0.2ms]
[2026-05-15 22:54:10] MOVE asha (blue): 94→90 [0.5ms]
[2026-05-15 22:54:11] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:12] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:54:13] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:14] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:54:15] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:54:16] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:54:17] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:18] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:54:20] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:21] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:54:22] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:23] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:54:24] MOVE chetan (red): 31→27 [0.2ms]
[2026-05-15 22:54:25] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:54:26] MOVE chetan (red): 27→31 [0.4ms]
[2026-05-15 22:54:27] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:54:28] MOVE chetan (red): 31→27 [0.3ms]
[2026-05-15 22:54:30] MOVE asha (blue): 90→94 [0.5ms]
[2026-05-15 22:54:31] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:32] MOVE asha (blue): 94→90 [0.2ms]
[2026-05-15 22:54:33] MOVE chetan (red): 31→27 [0.5ms]
[2026-05-15 22:54:34] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:54:35] MOVE chetan (red): 27→31 [0.3ms]
[2026-05-15 22:54:36] MOVE asha (blue): 94→90 [0.2ms]
